IDCOVER,IDREGION,DATE,TMAX,TMIN,TAVG,VPRES,WSPD,PREC,ET0,RAD,RELH
"1003","NL11","19790531","18.76","10.31","14.54","13.43","4.77","2.07","2.96","16700","80"
"1003","NL11","19791110","9.19","3.42","6.3","8.63","5.95","4.9","0.55","3734","90"
"1003","NL11","19800229","5.71","-0.07","2.82","6.56","4","0.07","0.65","5693","87"
"1003","NL11","19800720","16.38","10.93","13.67","13.35","5.79","5.3","2.02","10962","85"
"1003","NL11","19801010","14.05","6.85","10.46","10.68","6.82","3.53","1.3","7488","84"
"1003","NL11","19801020","11.47","3.56","7.51","8.92","4.57","1.3","0.86","6032","86"
"1003","NL11","19820510","11.6","3.39","7.48","8.07","6.14","2.14","2.21","16061","78"
"1003","NL11","19820920","22.13","10.73","16.42","15.85","2.93","0.52","1.99","11533","84"
"1003","NL11","19831031","10.9","3.5","7.2","8.57","4.95","0.23","0.81","5590","83"
"1003","NL11","19840210","6.25","1.39","3.81","7.29","8.17","3.5","0.53","3719","90"
"1003","NL11","19840410","6.88","0.57","3.73","6.84","3.72","1.17","1.08","8636","85"
"1003","NL11","19840731","19.76","11.8","15.76","14.9","4.42","0.63","2.64","14349","82"
"1003","NL11","19841020","14.53","8.7","11.62","11.57","6.46","1.91","1.22","5513","84"
"1003","NL11","19850120","-4.07","-9.83","-6.94","4.23","4.69","0.35","0.13","2325","98"
"1003","NL11","19850310","5.52","0.69","3.13","7.04","4.05","1.14","0.63","5157","92"
"1003","NL11","19860310","3.5","-3.46","0.04","5.5","5.51","0.56","0.68","6908","87"
"1003","NL11","19860331","8.07","2.71","5.4","7.39","9.82","3.51","1.3","7726","82"
"1003","NL11","19861020","15.81","6.29","11.06","11.41","4.93","2.6","1.13","6195","86"
"1003","NL11","19861130","8.27","3.93","6.11","8.52","7.83","0.81","0.58","2329","89"
"1003","NL11","19880120","5.74","1.87","3.81","7.29","5.7","0.63","0.42","1849","91"
"1003","NL11","19890610","15.12","8.33","11.73","10.26","3.91","3.41","2.74","16834","74"
"1003","NL11","19891120","8.34","1.27","4.82","6.86","4.68","0.01","0.65","4923","78"
"1003","NL11","19891220","8.84","2.62","5.73","8.26","6.59","5.86","0.57","1976","89"
"1003","NL11","19900710","17.33","12.02","14.67","13.17","7.72","3.13","2.92","15965","79"
"1003","NL11","19901120","10.78","6.87","8.8","10.39","6.38","5.76","0.56","2679","91"
"1003","NL11","19910331","10.29","3.2","6.74","7.03","5.03","0.15","1.81","12285","71"
"1003","NL11","19930810","19.86","12.01","15.93","14.9","4.37","2.28","2.61","14441","82"
"1003","NL11","19941210","8.27","3.58","5.94","8.55","6.15","2.83","0.39","2272","91"
"1003","NL11","19950331","7.87","1.44","4.65","6.82","6.26","2.82","1.37","9860","80"
"1003","NL11","19951220","1.05","-1.78","-0.36","5.58","3.52","0.12","0.19","1678","92"
"1003","NL11","19960310","4.35","-1.47","1.43","5.49","4.79","0.12","0.92","7544","81"
"1003","NL11","19960430","17.47","6.85","12.15","9.22","3.73","0.13","3.1","16644","66"
"1003","NL11","19960910","18.43","8.49","13.47","12.06","2.38","0.24","2.15","13944","78"
"1003","NL11","19961231","-2.22","-7.22","-4.71","3.54","3.12","0.14","0.21","2652","80"
"1003","NL11","19970531","14.74","6.94","10.83","9.64","2.95","1.04","2.63","16734","74"
"1003","NL11","19970620","19.55","11.06","15.3","13.06","2.89","2.47","3.26","17896","74"
"1003","NL11","19971220","3.93","0.63","2.3","6.55","4.04","1.22","0.41","1703","85"
"1003","NL11","19980210","5.09","-0.34","2.37","6.5","3.72","0.58","0.45","3906","87"
"1003","NL11","19980430","15.33","8.04","11.68","11.31","2.48","2.11","1.93","12120","82"
"1003","NL11","19980610","19.24","11.53","15.39","14.71","3.13","5.51","2.75","16229","84"
"1003","NL11","19980910","19.31","13.11","16.22","16.1","3.14","3.51","1.73","9546","87"
"1003","NL11","19990520","16.96","7.57","12.27","10.77","3.04","1.72","2.94","18723","75"
"1003","NL11","20000220","6.83","1.61","4.23","7.01","3.81","1.98","0.62","5185","85"
"1003","NL11","20000810","21.32","12.66","17","15.5","3.19","2.03","2.91","15868","80"
"1003","NL11","20010131","4.92","1.09","2.98","7.27","3.89","1.64","0.27","2360","94"
"1003","NL11","20010430","13.49","4.07","8.77","9.17","3.6","1.76","2.12","15708","80"
"1003","NL11","20010510","15.54","5.9","10.72","9.55","4.86","0.45","2.89","18124","74"
"1003","NL11","20010620","18.5","9.03","13.75","12.24","3.44","3.42","3.11","18574","77"
"1003","NL11","20010930","17.12","9.88","13.51","13.71","3.03","5.35","1.28","8091","88"
"1003","NL11","20011010","17.56","12.31","14.93","14.22","5.9","2.56","1.54","6765","84"
"1003","NL11","20020610","21.34","11.63","16.5","14.39","3.62","3.05","3.44","17599","77"
"1003","NL11","20020820","25.94","15.65","20.8","18.93","2.96","2.55","3.53","18063","77"
"1003","NL11","20030720","26.17","14.59","20.37","16.34","4.24","1.75","4.85","22222","68"
"1003","NL11","20040610","21.32","11.73","16.52","14.36","3.61","0.67","3.54","19321","76"
"1003","NL11","20050228","1.55","-2.06","-0.26","5.09","5.66","0.73","0.66","4441","84"
"1003","NL11","20050510","14.76","7.01","10.89","10.72","4.74","2.83","2.2","13908","80"
"1003","NL11","20060220","5.56","1.02","3.3","7.09","4.19","1.01","0.47","3069","91"
"1003","NL11","20061231","6.8","4.36","5.57","8.35","4.22","1.52","0.43","902","91"
"1003","NL11","20070210","4.91","1.61","3.26","7.13","5.24","0.93","0.44","3053","90"
"1003","NL11","20071031","10.57","5.46","8.02","9.25","4.23","0.79","0.79","3741","86"
"1003","NL11","20080410","10.12","2.45","6.31","7.48","4.05","1.08","1.58","11665","77"
"1003","NL11","20080510","20.57","6.79","13.67","10.16","3.75","0.22","4.04","23540","65"
"1003","NL11","20080820","20.95","12.79","16.88","14.74","4.84","2.44","2.87","13622","77"
"1003","NL11","20081130","5.27","1.81","3.55","7.14","5.2","1.94","0.47","1626","89"
"1003","NL11","20090220","3.83","-0.33","1.75","6.35","4.12","2.2","0.42","3638","90"
"1003","NL11","20090310","7.59","3.89","5.75","8.02","5.28","1.97","0.84","4731","87"
"1003","NL11","20100120","0.7","-0.99","-0.16","5.63","5.15","1.29","0.31","1462","92"
"1003","NL11","20100228","5.65","1.44","3.55","7.28","5.58","4.71","0.58","3264","91"
"1003","NL11","20100731","21.82","13.74","17.79","15.11","3.59","1.81","3.41","17011","74"
"1003","NL11","20100820","21.99","13.1","17.54","15.36","4.01","2.24","3.05","15419","77"
"1003","NL11","20101110","10.06","6.62","8.34","10.03","5.38","3.57","0.62","2465","89"
"1003","NL11","20110410","14.65","7.02","10.82","10.35","5.12","0.21","2","12059","79"
"1003","NL11","20110810","22.12","14.17","18.16","16.02","4.67","4.37","3.2","15182","76"
"1003","NL11","20111010","18.13","10.29","14.2","13.29","5.33","4.35","1.61","7081","81"
"1003","NL11","20120410","9","2.71","5.86","7.37","5.3","1.61","1.5","9971","78"
"1003","NL11","20120430","14.39","6.54","10.47","10.03","5.21","2.36","2.22","13218","79"
"1003","NL11","20121010","14.6","8.31","11.47","10.93","4.84","3.69","1.41","7383","80"
"1003","NL11","20130228","1.96","-1.4","0.26","5.4","5.25","0.25","0.6","3646","85"
"1003","NL11","20130731","26.02","15.53","20.77","18.48","3.31","3.93","3.89","18804","76"
"1003","NL11","20140510","13.76","8.25","11","10.25","4.7","3.95","2.14","12371","77"
"1003","NL11","20140710","23.5","13.36","18.42","16.01","4.26","2.38","3.92","19541","75"
"1003","NL11","20141020","17.05","10.98","14.03","13.98","4.17","2.09","1.1","4981","87"
"1003","NL11","20141130","6.67","3","4.84","7.59","4.76","0.51","0.46","2526","87"
"1003","NL11","20150810","24.46","12.49","18.48","15.43","2.87","1.17","3.67","18322","72"
"1003","NL11","20161210","6.75","1.26","4.02","7.42","3.87","1.95","0.29","2406","87"
"1003","NL11","20170228","8.6","4.75","6.7","8.27","7.36","4.95","0.99","4191","84"
"1003","NL11","20170310","9.05","3.16","6.11","8","4.3","2.79","0.91","5753","85"
"1003","NL11","20170331","14.17","3.75","8.96","8.52","4.06","0.22","2.01","13537","73"
"1003","NL11","20170510","13.62","6.95","10.28","9.17","4.93","0.56","2.43","13740","73"
"1003","NL12","19790131","-0.63","-6.18","-3.4","4.53","6.05","1.56","0.28","2962","92"
"1003","NL12","19790320","4.65","0.3","2.48","6.5","7.55","2.47","0.79","6353","89"
"1003","NL12","19790831","18.73","9.48","14.11","13.42","5.24","1.73","2.36","13821","83"
"1003","NL12","19811010","15.22","8.83","12.05","12.04","9.7","2.76","1.5","6601","85"
"1003","NL12","19811120","8.8","3.15","6","8.31","9.13","2.9","0.73","2824","87"
"1003","NL12","19820110","2.53","-3.04","-0.25","6.7","8.23","2.73","0.2","2440","98"
"1003","NL12","19820710","20.94","12.36","16.65","15.9","6.17","0.52","3.37","19697","84"
"1003","NL12","19830610","20.29","10.79","15.54","13.87","6.3","0.83","3.71","22164","78"
"1003","NL12","19840731","19.63","11.45","15.54","14.7","5.83","0.38","2.96","16667","82"
"1003","NL12","19840930","15.36","7.8","11.57","12.17","5.61","4.38","1.32","9185","89"
"1003","NL12","19841020","14.62","9.08","11.85","11.89","8.32","1.69","1.31","5750","85"
"1003","NL12","19841031","13.91","7.76","10.82","11.02","7.87","2.75","1.16","5119","84"
"1003","NL12","19850331","8.8","2.97","5.89","7.93","8.79","2.07","1.22","8557","85"
"1003","NL12","19850920","18.02","10.03","14.03","14.14","6.69","0.96","1.77","10164","88"
"1003","NL12","19860220","-0.88","-5.92","-3.4","4.61","8.27","0.03","0.27","6058","94"
"1003","NL12","19860731","20.08","12.61","16.35","15.32","6.25","1.6","2.87","15533","82"
"1003","NL12","19870920","18.19","10.79","14.48","14.41","6.35","2.28","1.8","10763","87"
"1003","NL12","19870930","16.07","8.21","12.12","11.96","6.21","1.23","1.73","10311","83"
"1003","NL12","19880920","16.4","11.34","13.86","13.55","7.24","2.51","1.65","7916","85"
"1003","NL12","19891120","8.41","1.7","5.04","6.87","4.27","0.01","0.6","4979","76"
"1003","NL12","19891130","5.87","-0.13","2.87","6.42","4.44","0.79","0.35","3577","84"
"1003","NL12","19901020","17.81","11.4","14.61","13.82","3.98","0.1","1.24","6741","83"
"1003","NL12","19910110","8.22","4.24","6.26","8","9.25","3.33","0.75","2613","84"
"1003","NL12","19910720","21.01","14.93","17.97","15.8","5.9","2.28","3.49","16861","77"
"1003","NL12","19930410","10.53","3.97","7.23","8.66","5.07","1.42","1.38","9753","85"
"1003","NL12","19930531","16.6","10.15","13.39","12.78","5.36","2.69","2.62","16883","83"
"1003","NL12","19940210","5.27","1.8","3.55","6.82","5.12","1.13","0.6","2814","86"
"1003","NL12","19950520","11.87","4.26","8.08","8.32","5.04","1.54","2.27","15644","77"
"1003","NL12","19950720","23.48","15.45","19.46","18.92","3.62","1.34","3.44","18901","84"
"1003","NL12","19960210","-1.86","-8.73","-5.28","3.77","4.2","0.32","0.31","4160","86"
"1003","NL12","19960731","21.68","13.36","17.55","14.97","2.12","0.97","2.97","15456","76"
"1003","NL12","19970310","11.15","3.67","7.43","8.68","2.53","0.14","0.95","8011","84"
"1003","NL12","19980731","20.35","12.86","16.62","15.02","2.2","1.96","2.88","16299","79"
"1003","NL12","19980810","20.8","12.79","16.82","15.36","2.14","0.58","2.84","16283","80"
"1003","NL12","19980930","18.16","10.68","14.44","14.34","1.98","0.95","1.33","9321","87"
"1003","NL12","19990220","3.62","-3.34","0.16","6.04","3.27","1.44","0.35","5345","92"
"1003","NL12","19990310","7.26","3.61","5.44","8.26","2.94","2.99","0.63","4826","91"
"1003","NL12","19990320","10.09","2.78","6.45","8.25","2.02","1.26","0.96","7967","85"
"1003","NL12","20010410","12.51","5.95","9.22","9.53","5.39","2.18","1.68","10236","82"
"1003","NL12","20010620","17.81","9.44","13.64","12.41","3.87","1.85","2.99","18038","79"
"1003","NL12","20010720","19.19","11.53","15.37","13.64","4.58","5.55","3.09","16727","78"
"1003","NL12","20020310","9.07","3.42","6.26","7.94","6.9","0.71","1.12","6894","83"
"1003","NL12","20020331","11.05","1.44","6.25","6.93","3.55","0.2","1.67","11615","72"
"1003","NL12","20020610","20.82","11.99","16.43","13.77","4.09","2.37","3.57","17833","74"
"1003","NL12","20020810","22.46","15.03","18.74","18.02","2.66","4.43","2.85","15565","83"
"1003","NL12","20020910","21.41","12.26","16.84","15.17","3.64","2.21","2.52","13405","79"
"1003","NL12","20030910","18.96","10.37","14.66","13.11","3.15","2.24","2.28","12995","79"
"1003","NL12","20040110","4.26","0.06","2.19","7.12","4.86","2.12","0.16","1879","96"
"1003","NL12","20040320","10.66","5.19","7.94","9.22","7.36","2.2","1.24","8124","85"
"1003","NL12","20040331","9.65","2.7","6.18","7.64","4.92","0.47","1.5","11282","80"
"1003","NL12","20070731","19.09","13.52","16.31","14.63","6.2","3.94","3.1","16525","79"
"1003","NL12","20071210","9.35","6.6","7.99","9.42","8.13","6.26","0.68","1850","88"
"1003","NL12","20080120","8.52","5.33","6.94","9.13","7.76","5.18","0.51","1890","91"
"1003","NL12","20080131","8.25","5.45","6.89","8.62","7.48","4.05","0.72","2374","86"
"1003","NL12","20080810","21.32","15.58","18.45","17.11","5.21","5.14","3","15190","80"
"1003","NL12","20090731","21.1","14.23","17.67","15.29","4.45","2.32","3.45","18109","75"
"1003","NL12","20100110","-0.47","-5.34","-2.89","4.84","5.28","4.65","0.15","2074","95"
"1003","NL12","20100810","20.31","13.71","17.03","15.79","3.49","4.83","2.71","14920","81"
"1003","NL12","20110910","19.67","13.15","16.41","15.56","5","5.91","2.14","10869","82"
"1003","NL12","20130228","2.21","-0.81","0.73","5.43","5.59","0.19","0.67","4032","83"
"1003","NL12","20130630","16.39","11.79","14.09","13.08","6.14","4.53","2.59","14412","81"
"1003","NL12","20130831","22.51","13.18","17.85","15.03","4.05","0.04","3.34","17354","74"
"1003","NL12","20140110","9.38","5.93","7.66","9.1","7.67","2.05","0.69","1987","87"
"1003","NL12","20140320","11.83","5.4","8.61","9.02","6.44","0.92","1.55","10864","80"
"1003","NL12","20140520","16.66","8.52","12.62","11.16","4.61","1.9","3.29","21949","76"
"1003","NL12","20141020","16.82","11.44","14.14","14.23","4.41","2.04","1.04","5179","88"
"1003","NL12","20151010","16.13","9.43","12.8","12.94","3.36","0.82","1.16","8480","87"
"1003","NL12","20160810","19.77","13.68","16.74","14.83","5.15","1.16","3.04","15541","77"
"1003","NL12","20160820","20.28","11.96","16.12","15.03","4.06","2.04","2.72","15816","82"
"1003","NL12","20161010","14.64","7.43","11.06","10.82","3.91","1.53","1.35","8735","82"
"1003","NL12","20161110","8.33","4.13","6.27","8.28","4.34","2.74","0.63","3649","86"
"1003","NL12","20161231","6.95","3.69","5.34","8.21","6.78","0.82","0.42","1619","91"
"1003","NL12","20170110","4.96","1.56","3.28","6.85","5.73","1.53","0.47","1759","87"
"1003","NL12","20170420","10.53","4","7.28","7.88","5.78","1.27","1.97","14722","76"
"1003","NL12","20170930","17.69","10.43","14.07","14.14","3.18","1.84","1.31","8084","88"
