CROP,IDREGION,FYEAR,YIELD
potato,NL,1971,37.3
potato,NL,1972,37.5
potato,NL,1973,36.8
potato,NL,1974,38.4
potato,NL,1975,33.1
potato,NL,1976,29.8
potato,NL,1977,33.8
potato,NL,1978,38.6
potato,NL,1979,37.8
potato,NL,1980,36.3
potato,NL,1981,39.1
potato,NL,1982,37.5
potato,NL,1983,33.1
potato,NL,1984,41.5
potato,NL,1985,42.3
potato,NL,1986,41
potato,NL,1987,44.4
potato,NL,1988,41.9
potato,NL,1989,41.5
potato,NL,1990,40.1
potato,NL,1991,38.7
potato,NL,1992,40.8
potato,NL,1993,43.8
potato,NL,1994,41.5
potato,NL,1995,41
potato,NL,1996,43.6
potato,NL,1997,44.3
potato,NL,1998,41.5
potato,NL,1999,45.7
potato,NL,2000,45.1
potato,NL,2001,42.8
potato,NL,2002,44.6
potato,NL,2003,40.8
potato,NL,2004,45.7
potato,NL,2005,43.5
potato,NL,2006,40.1
potato,NL,2007,43.8
potato,NL,2008,46
potato,NL,2009,46.3
potato,NL,2010,41.7
potato,NL,2011,46
potato,NL,2012,45.2
potato,NL,2013,41.5
potato,NL,2014,45
potato,NL,2015,42.7
potato,NL,2016,42.9
potato,NL,2017,46
potato,NL,2018,36.6
sugarbeet,NL,1971,49.1
sugarbeet,NL,1972,43.9
sugarbeet,NL,1973,47.7
sugarbeet,NL,1974,42.5
sugarbeet,NL,1975,43.4
sugarbeet,NL,1976,46.6
sugarbeet,NL,1977,46.4
sugarbeet,NL,1978,48.4
sugarbeet,NL,1979,44.4
sugarbeet,NL,1980,49.2
sugarbeet,NL,1981,54.2
sugarbeet,NL,1982,59.3
sugarbeet,NL,1983,44.3
sugarbeet,NL,1984,53.8
sugarbeet,NL,1985,48.5
sugarbeet,NL,1986,56
sugarbeet,NL,1987,54.2
sugarbeet,NL,1988,54.6
sugarbeet,NL,1989,62.1
sugarbeet,NL,1990,69
sugarbeet,NL,1991,58.3
sugarbeet,NL,1992,68.3
sugarbeet,NL,1993,64.1
sugarbeet,NL,1994,53.7
sugarbeet,NL,1995,55.6
sugarbeet,NL,1996,55
sugarbeet,NL,1997,57.9
sugarbeet,NL,1998,48.7
