CROP,IDREGION,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Spring barley,NL13,4.6,5.5,6.6,6.5,5.2,6.2,6,6,5.4,6.3,5.9,6,5.7,5.4,6.2,6.7,5.6,5.8,6.9,7,6.9,6.2,6.7,5.9,6.6
Sugar beet,NL13,44,47.5,45,47.9,46,54.8,57,52.3,54,54.8,62.4,61.1,63.3,66.3,71.8,73.4,68.7,75.8,74.4,71.8,80,75.5,74.1,86.3,65.1
Total potatoes,NL13,38,40.5,40,43.4,41,43,43.5,41.7,41.5,37.3,44.2,44.1,37.2,41.6,43.6,44.6,39.4,43.8,44.1,39.4,43.2,42.3,43.9,44.3,34.8
Soft wheat,NL13,6.1,7,7.1,7.1,6.2,7.5,7.1,7.6,6.7,7.8,7.7,7.7,7,6.5,7.4,8,7.7,5.9,8.3,9.1,8.5,8.7,8.3,8.5,8.2
Spring barley,NL23,5.8,6,7.3,6.8,5.8,6.9,7.5,6.8,5.5,6,7,6.5,7,6.3,6.8,8,7.5,7.1,7.5,8.3,7.5,7.6,7.4,7.1,8.2
Sugar beet,NL23,66,67,66,69.7,56,68.1,70,63.6,64.2,67,70.1,71.6,77.2,75.4,81.9,92.9,85.8,89.7,90.5,91.7,106.1,94.4,91.0,106.4,98.1
Total potatoes,NL23,49,44,49,46.8,44,50,52.3,48,46.5,44.4,49.4,43.5,45.7,48.1,48.5,49.1,48.2,49,48.1,46,47.2,42.7,43.5,48.2,40.8
Soft wheat,NL23,8.8,9.2,9.4,8,7.1,9.6,9.3,9,7.3,10.1,9.6,9.3,9.3,8.5,9.3,10.2,9.9,9,9.6,9.9,9.6,9.6,8.7,10.0,9.7
Spring barley,NL12,5.6,6.1,6.9,6.2,5.5,6.4,6.7,6.6,5.6,6.9,5.6,6.3,6.7,5.5,5.3,6.5,5.8,6.8,6.5,6.7,6.6,6,6.2,7.2,7.7
Sugar beet,NL12,54,57,55,57.8,46,64.6,60.4,57.6,56.7,63.3,61.7,62,67.8,65,70.8,75.5,75.8,75.8,77.3,75.9,91.5,75.8,75.0,88.3,81.0
Total potatoes,NL12,35,35,35,34.8,35,38,36.9,36.8,35,37.1,35.9,33.8,35.5,34.6,36.8,37.4,38.4,36.1,38.7,37.1,36,37.2,36.2,38.6,32.4
Soft wheat,NL12,8.1,8.9,8.8,8,7.5,8.6,8.9,9.2,8,9.2,8.9,8.8,8.6,7.4,8.3,9.4,9.8,7.4,8.3,9,9.4,8.8,8.4,9.6,9.4
Spring barley,NL22,4.9,5.3,6,6,5.4,6.1,6,5.3,5.5,5.6,6.1,5.6,5.6,5.1,4.8,5.8,5.1,5.6,6.2,5.6,5.7,6,5.5,4.8,5.4
Sugar beet,NL22,52,49,51,53.7,46,56.5,59.1,54.2,56.6,56.3,61.6,61.4,63.3,53.5,68.9,79.2,66,76.9,76.1,80.9,86.3,77.9,67.2,87.8,78.3
Total potatoes,NL22,37,36,41,41.6,42,44,44.4,42.6,45.2,38.7,46,43.3,38.9,43.6,44.6,47.2,42.4,48.1,45,42.6,50.2,40.9,42.0,48.3,37.1
Soft wheat,NL22,7.5,7.5,8.1,7.1,7.3,8.8,8.5,7.3,7.1,8.4,8.6,8.5,8.6,6.9,9,8.9,8.5,7.3,8.6,8.9,8.7,8.3,7.3,8.7,8.5
Spring barley,NL11,5.2,5.8,6.6,6.4,5.5,6.4,6.3,6.3,5.6,6.6,6,6.3,6.2,5.7,5.9,6.9,6.1,6.4,7,7.2,7.3,6.9,6.3,6.6,7.2
Sugar beet,NL11,51,54.4,52,55.7,47,60.3,59.1,54.4,55.3,59.2,62,63.1,65.8,65.6,70.9,74.8,71.2,75.8,75.2,74.6,86.8,76,74.8,87.7,75.1
Total potatoes,NL11,39,38.8,40,41.3,38,41,41.6,40.7,40.5,38,41.4,40.1,37.8,39,42.3,42.8,40,42.3,42.4,36.7,41.1,42,41.2,41.5,33.0
Soft wheat,NL11,7.4,8.4,8.4,8.1,7,8.1,8.2,8.7,7.9,8.8,8.8,8.5,8.3,7.4,8.9,9.5,9.1,8.2,8.9,8.7,9.6,9,8.2,9.1,8.9
Spring barley,NL42,4.8,4.1,5.1,5.6,5.4,5.5,5.6,4.9,5,5.9,5.4,5.5,5.3,4.7,5.5,6.2,5.5,5.4,6.4,6.7,6.3,6,5.7,4.9,6.7
Sugar beet,NL42,52,52,54,55.1,52,63.1,62.2,54,56.6,61.1,61.2,62.6,58.8,70.2,68,74.6,71,80.4,77.9,77.5,90.7,78.4,61.3,88.4,69.8
Total potatoes,NL42,46,43,50,48.7,50,54,53.4,51.3,52.9,48.8,55,50.6,48.4,55,54,56.1,54.4,60.2,53.5,54.3,57,50.2,44.0,55.1,42.0
Soft wheat,NL42,8.1,7.7,8.4,7,7.3,8.5,7.8,8.3,8.5,8.2,8.5,8.8,8.4,7.6,8.5,8.9,8.4,8.4,8.8,8.9,9.4,9.5,6.6,8.4,8.6
Spring barley,NL41,5.2,5.3,6.2,5.7,5.5,5.9,5.7,5.2,5.2,6.3,5.8,5.8,5.6,5.3,5.2,5.9,4.8,6.1,6.3,5.8,5.9,6.1,6.5,5.7,5.3
Sugar beet,NL41,54,54,55,57.6,51,61,60.1,54.2,58.4,59.9,63.4,63.4,61.3,64.6,72.1,79.3,72.9,80.7,76.5,77.6,90.5,81.9,69.3,93.5,73.2
Total potatoes,NL41,45,43,48,47.4,47,51,51,47.8,49.7,46,52.2,48,44.6,47.7,51.6,52.1,49.9,54.4,48,49.2,51.7,47.9,41.5,51.5,41.9
Soft wheat,NL41,8.9,8.8,9.3,7.4,7.9,8.9,8.4,7.6,8.4,8.9,9.2,8.8,8.8,6.9,9.1,9.5,9,7.8,8.6,9,9.5,9.6,8.2,9.4,9.1
Spring barley,NL32,4.9,5.5,5.9,6.9,5.8,6.1,6.6,5.9,6,6.6,6.4,6.5,6.3,6.3,5.5,7.5,6.8,4.9,6.8,7,6.7,7.4,7.7,5.3,6.5
Sugar beet,NL32,59,62,60,61.2,52,62.8,61.4,56.4,61.8,62.7,67.2,68.6,69.9,65.9,71.1,73.3,77,79.4,81.9,80.2,94.4,88.8,87.5,95.9,83.3
