CROP,IDREGION,year,yield
Spring barley,NL13,1994,4.6
Sugar beet,NL13,1994,44.0
Total potatoes,NL13,1994,38.0
Soft wheat,NL13,1994,6.1
Spring barley,NL23,1994,5.8
Sugar beet,NL23,1994,66.0
Total potatoes,NL23,1994,49.0
Soft wheat,NL23,1994,8.8
Spring barley,NL12,1994,5.6
Sugar beet,NL12,1994,54.0
Total potatoes,NL12,1994,35.0
Soft wheat,NL12,1994,8.1
Spring barley,NL22,1994,4.9
Sugar beet,NL22,1994,52.0
Total potatoes,NL22,1994,37.0
Soft wheat,NL22,1994,7.5
Spring barley,NL11,1994,5.2
Sugar beet,NL11,1994,51.0
Total potatoes,NL11,1994,39.0
Soft wheat,NL11,1994,7.4
Spring barley,NL42,1994,4.8
Sugar beet,NL42,1994,52.0
Total potatoes,NL42,1994,46.0
Soft wheat,NL42,1994,8.1
Spring barley,NL41,1994,5.2
Sugar beet,NL41,1994,54.0
Total potatoes,NL41,1994,45.0
Soft wheat,NL41,1994,8.9
Spring barley,NL32,1994,4.9
Sugar beet,NL32,1994,59.0
Total potatoes,NL32,1994,41.0
Soft wheat,NL32,1994,8.9
Spring barley,NL21,1994,5.4
Sugar beet,NL21,1994,47.0
Total potatoes,NL21,1994,46.0
Soft wheat,NL21,1994,7.2
Spring barley,NL31,1994,3.1
Sugar beet,NL31,1994,49.0
Total potatoes,NL31,1994,46.0
Soft wheat,NL31,1994,7.5
Spring barley,NL34,1994,5.4
Sugar beet,NL34,1994,54.0
Total potatoes,NL34,1994,43.0
Soft wheat,NL34,1994,9.0
Spring barley,NL33,1994,5.7
Sugar beet,NL33,1994,56.0
Total potatoes,NL33,1994,45.0
Soft wheat,NL33,1994,8.9
Spring barley,NL13,1995,5.5
Sugar beet,NL13,1995,47.5
Total potatoes,NL13,1995,40.5
Soft wheat,NL13,1995,7.0
Spring barley,NL23,1995,6.0
Sugar beet,NL23,1995,67.0
Total potatoes,NL23,1995,44.0
Soft wheat,NL23,1995,9.2
Spring barley,NL12,1995,6.1
Sugar beet,NL12,1995,57.0
Total potatoes,NL12,1995,35.0
Soft wheat,NL12,1995,8.9
Spring barley,NL22,1995,5.3
Sugar beet,NL22,1995,49.0
Total potatoes,NL22,1995,36.0
Soft wheat,NL22,1995,7.5
Spring barley,NL11,1995,5.8
Sugar beet,NL11,1995,54.4
Total potatoes,NL11,1995,38.8
Soft wheat,NL11,1995,8.4
Spring barley,NL42,1995,4.1
Sugar beet,NL42,1995,52.0
Total potatoes,NL42,1995,43.0
Soft wheat,NL42,1995,7.7
Spring barley,NL41,1995,5.3
Sugar beet,NL41,1995,54.0
Total potatoes,NL41,1995,43.0
Soft wheat,NL41,1995,8.8
Spring barley,NL32,1995,5.5
Sugar beet,NL32,1995,62.0
Total potatoes,NL32,1995,43.0
Soft wheat,NL32,1995,9.9
Spring barley,NL21,1995,5.6
Sugar beet,NL21,1995,46.0
Total potatoes,NL21,1995,39.0
Soft wheat,NL21,1995,6.9
Spring barley,NL31,1995,4.3
Sugar beet,NL31,1995,46.0
Total potatoes,NL31,1995,42.0
Soft wheat,NL31,1995,7.5
Spring barley,NL34,1995,6.0
Sugar beet,NL34,1995,59.0
